marca,modelo,tipo_dnrpa,tipo_sistema
DUCATI,SCRAMBLER 800,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 800 CLASSIC,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 800 DESERT SL,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 800 ICON,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 800 MACH 2.0,MOTOCICLETA,Moto
DUCATI,SCRAMBLER 800 URBAN EN,MOTOCICLETA,Moto
DUCATI,SCRAMBLER FULL THROTTL,MOTOCICLETA,Moto
DUCATI,SCRAMBLER ICON,MOTOCICLETA,Moto
DUCATI,SCRAMBLER ICON 2G,MOTOCICLETA,Moto
DUCATI,SCRAMBLER ICON DARK,MOTOCICLETA,Moto
DUCATI,SCRAMBLER ICON DARK 2G,MOTOCICLETA,Moto
DUCATI,SCRAMBLER NIGHTSHIFT,MOTOCICLETA,Moto
DUCATI,SPORT 1000,MOTOCICLETA,Moto
DUCATI,SPORT TOURING 2,MOTOCICLETA,Moto
DUCATI,SPORT TOURING 4,MOTOCICLETA,Moto
DUCATI,ST3,MOTOCICLETA,Moto
DUCATI,STREETFIGHTER 848,MOTOCICLETA,Moto
DUCATI,SUPER SPORT 750,MOTOCICLETA,Moto
DUCATI,SUPER SPORT 900,MOTOCICLETA,Moto
DUCATI,SUPERSPORT,MOTOCICLETA,Moto
DUCATI,SUPERSPORT S,MOTOCICLETA,Moto
DUCATI,XDIAVEL,MOTOCICLETA,Moto
DUCATI,XDIAVEL S,MOTOCICLETA,Moto
ELITE,ELITE 125,SCOOTER,Moto
ELPRA ELECTRIC,CITY-M8-CITY CHOPER- CY,MOTOCICLETA,Moto
ELPRA ELECTRIC,FOLK/ZMAJ05,MOTOCICLETA,Moto
ELPRA ELECTRIC,INDIE,MOTONETA / SCOOTER,Moto
ELPRA ELECTRIC,MASTER,MOTONETA / SCOOTER,Moto
ELPRA ELECTRIC,TWIST/LX05/TW,MOTOCICLETA,Moto
EUROMOT,GTX250B A,MOTOCICLETA,Moto
EUROMOT,GTX250B B,MOTOCICLETA,Moto
EUROMOT,HJ110-2,MOTOCICLETA,Moto
EUROMOT,HJ125-7,MOTOCICLETA,Moto
EUROMOT,HJ125T-11A,MOTOCICLETA / SCOOTER,Moto
GAF,GX 125,MOTOCICLETA,Moto
GARELLI,NOI MATIC,CICLOMOTOR,Moto
GARELLI SAHEL,SAHEL 150,MOTOCICLETA,Moto
GARELLI SAHEL,SAHEL 200,MOTOCICLETA,Moto
GAS GAS,EC 300,MOTOCICLETA,Moto
GAS GAS,EC 350F,MOTOCICLETA,Moto
GAS GAS,EC250,MOTOCICLETA,Moto
GAS GAS,ES 700,MOTOCICLETA,Moto
GAS GAS,MC 250F,MOTOCICLETA,Moto
GAS GAS,MC 350F,MOTOCICLETA,Moto
GAS GAS,MC 450F BT,MOTOCICLETA,Moto
GAS GAS,MC 450F FACTORY EDITION,MOTOCICLETA,Moto
GAS GAS,MC450F,MOTOCICLETA,Moto
GAS GAS,TXT RACING 300,MOTOCICLETA,Moto
GASGAS,EC 250 F,MOTOCICLETA,Moto
GASGAS,EC 250F,MOTOCICLETA,Moto
GHIGGERI,VITA 110,MOTOCICLETA,Moto
GHIGGERI,VITA 110 SPORT TUNNING,MOTOCICLETA,Moto
GILERA,AC4,MOTOCICLETA,Moto
GILERA,AG50,SCOOTER,Moto
GILERA,AX100,MOTOCICLETA,Moto
GILERA,C100 ESTILO,MOTOCICLETA,Moto
GILERA,C110,MOTOCICLETA,Moto
GILERA,C110 ESTILO,MOTOCICLETA / SIN ESPECIFICACION,Moto
GILERA,C50,MOTOCICLETA,Moto
GILERA,C70,MOTOCICLETA,Moto
GILERA,CD 100-3B,MOTOCICLETA,Moto
